team,defense_passing_epa_x,defense_rushing_epa_x,defense_pacr_x,defesne_wopr_x,defensive_racr_x,defense_sacks_x,defense_interceptions_x,passing_epa_x,rushing_epa_x,pacr_x,wopr_x,racr_x,sacks_x,interceptions_x,opponent_x,opponent_y,team_score_x,opponent_score_x,opponent,team_x,defense_passing_epa_y,defense_rushing_epa_y,defense_pacr_y,defesne_wopr_y,defensive_racr_y,defense_sacks_y,defense_interceptions_y,passing_epa_y,rushing_epa_y,pacr_y,wopr_y,racr_y,sacks_y,interceptions_y
CIN,-2.044479847,0.041142683,0.736746013,0.282051295,0.821360409,3.75,1.5,-4.00076437,-1.016093016,0.877903759,0.297297269,0.667471588,2.200000048,1,CIN,ARI,34,20,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
DAL,-4.439721584,-0.891836524,0.93536061,0.255813897,0.888502359,2.5,2.333333254,-0.013146922,-0.400317013,2.056748629,0.244444445,1.791780949,2,2,DAL,ARI,16,28,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
NYG,2.32831502,0.389380842,1.417280197,0.289473653,0.655171216,1.666666627,2,-6.288093567,-0.433977067,0.989872217,0.239130452,1.564719796,4.285714149,1.5,NYG,ARI,31,28,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
SF,-6.251096249,-0.186934322,1.926877379,0.261904776,2.850395441,2.166666746,2,11.0967989,0.009895548,1.255221486,0.323529422,1.934275866,1.600000024,0,SF,ARI,35,16,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
WAS,4.278719902,0.495720118,0.862084031,0.305555463,1.068466425,4,1,-4.242918968,0.113383077,0.950581729,0.25,0.704634488,5.800000191,2,WAS,ARI,20,16,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
CIN,-2.044479847,0.041142683,0.736746013,0.282051295,0.821360409,3.75,1.5,-4.00076437,-1.016093016,0.877903759,0.297297269,0.667471588,2.200000048,1,CIN,ARI,34,20,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
DAL,-4.439721584,-0.891836524,0.93536061,0.255813897,0.888502359,2.5,2.333333254,-0.013146922,-0.400317013,2.056748629,0.244444445,1.791780949,2,2,DAL,ARI,16,28,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
NYG,2.32831502,0.389380842,1.417280197,0.289473653,0.655171216,1.666666627,2,-6.288093567,-0.433977067,0.989872217,0.239130452,1.564719796,4.285714149,1.5,NYG,ARI,31,28,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
SF,-6.251096249,-0.186934322,1.926877379,0.261904776,2.850395441,2.166666746,2,11.0967989,0.009895548,1.255221486,0.323529422,1.934275866,1.600000024,0,SF,ARI,35,16,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
WAS,4.278719902,0.495720118,0.862084031,0.305555463,1.068466425,4,1,-4.242918968,0.113383077,0.950581729,0.25,0.704634488,5.800000191,2,WAS,ARI,20,16,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
CIN,-2.044479847,0.041142683,0.736746013,0.282051295,0.821360409,3.75,1.5,-4.00076437,-1.016093016,0.877903759,0.297297269,0.667471588,2.200000048,1,CIN,ARI,34,20,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
DAL,-4.439721584,-0.891836524,0.93536061,0.255813897,0.888502359,2.5,2.333333254,-0.013146922,-0.400317013,2.056748629,0.244444445,1.791780949,2,2,DAL,ARI,16,28,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
NYG,2.32831502,0.389380842,1.417280197,0.289473653,0.655171216,1.666666627,2,-6.288093567,-0.433977067,0.989872217,0.239130452,1.564719796,4.285714149,1.5,NYG,ARI,31,28,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
SF,-6.251096249,-0.186934322,1.926877379,0.261904776,2.850395441,2.166666746,2,11.0967989,0.009895548,1.255221486,0.323529422,1.934275866,1.600000024,0,SF,ARI,35,16,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
WAS,4.278719902,0.495720118,0.862084031,0.305555463,1.068466425,4,1,-4.242918968,0.113383077,0.950581729,0.25,0.704634488,5.800000191,2,WAS,ARI,20,16,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
CIN,-2.044479847,0.041142683,0.736746013,0.282051295,0.821360409,3.75,1.5,-4.00076437,-1.016093016,0.877903759,0.297297269,0.667471588,2.200000048,1,CIN,ARI,34,20,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
DAL,-4.439721584,-0.891836524,0.93536061,0.255813897,0.888502359,2.5,2.333333254,-0.013146922,-0.400317013,2.056748629,0.244444445,1.791780949,2,2,DAL,ARI,16,28,ARI,ARI,4.690042019,0.147999451,1.128530145,0.289473683,1.123079777,3,1,-1.800274849,0.114270002,0.840810299,0.282051265,0.788138807,2.25,2
